rfq_id,underlyings,autocall_barrier_pct,protection_barrier_pct,no_call_period_months,observation_frequency,quoted_implied_vol,notional_credits,requested_date,executed,start_date,end_date,avg_duration_months,observation_frequency_months,basket_size,log_notional_credits,requested_year,requested_month_sin,requested_month_cos,requested_dayofweek,n_underlyings,n_market_matches,realized_vol_min,realized_vol_max,realized_vol_mean,realized_vol_std,realized_vol_trend_21d_mean,structural_base_vol_min,structural_base_vol_max,structural_base_vol_mean,structural_base_vol_std,market_lag_days_max,realized_vol_range,structural_base_vol_range,realized_minus_structural_vol,market_match_rate,has_underlying_BSKR,has_underlying_CLNE,has_underlying_CORL,has_underlying_DRC,has_underlying_HTTX,has_underlying_JEDI,has_underlying_KYBR,has_underlying_MNDO,has_underlying_NABO,has_underlying_POBK,has_underlying_REBL,has_underlying_SITH,has_underlying_TECH,has_underlying_WOOK,product_type_Death Star Phoenix Note,product_type_Holocron Reverse Convertible,product_type_Kessel Run Snowball,product_type_Mandalorian Twin-Win,product_type_Sith Eternal Snowball,product_type_Wretched Hive Digital,basket_type_single,basket_type_worst_of,counterparty_Alderaan Wealth Partners,counterparty_Banco de Coruscant,counterparty_Chandrila Sovereign Fund,counterparty_Corellian Capital,counterparty_First Order Financial,counterparty_Jabba Asset Management,counterparty_Kamino Cloning Trust,counterparty_Nal Hutta Traders,trader_id_TRD-001,trader_id_TRD-002,trader_id_TRD-003,trader_id_TRD-004,trader_id_TRD-005,trader_id_TRD-006,trader_id_TRD-007,trader_id_TRD-008,trader_id_TRD-009,trader_id_TRD-010,trader_id_TRD-011,trader_id_TRD-012,trader_id_TRD-013,trader_id_TRD-014,trader_id_TRD-015,trader_id_TRD-016,trader_id_TRD-017,trader_id_TRD-018,trader_id_TRD-019,trader_id_TRD-020,trader_id_TRD-021,trader_id_TRD-022,trader_id_TRD-023,trader_id_TRD-024,trader_id_TRD-025,trader_id_TRD-026,trader_id_TRD-027,trader_id_TRD-028,trader_id_TRD-029,trader_id_TRD-030,trader_id_TRD-031,trader_id_TRD-032,trader_id_TRD-033,trader_id_TRD-034,trader_id_TRD-035,trader_id_TRD-036,trader_id_TRD-037,trader_id_TRD-038,trader_id_TRD-039
RFQ-000000,CLNE|DRC,1.0,0.5424,3,Monthly,0.2455,250000,2022-09-08,False,2022-09-08,2030-01-22,,1.0,2,12.429220196836383,2022,-1.0,-1.8369701987210297e-16,3,2,2,0.2492817599231533,0.4257977932556217,0.3375397765893875,0.12481568415753909,0.029319205717985047,0.15,0.31,0.22999999999999998,0.11313708498984762,1,0.17651603333246843,0.16,0.10753977658938751,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000001,SITH|WOOK,1.0,0.6258,6,1Y,0.2365,100000,2022-06-10,False,2022-06-10,2030-08-09,,12.0,2,11.51293546492023,2022,1.2246467991473532e-16,-1.0,4,2,2,0.2501607727697637,0.2805213198126116,0.2653410462911876,0.021468148694530956,-0.0003497399102466714,0.26,0.27,0.265,0.007071067811865481,1,0.030360547042847907,0.010000000000000009,0.00034104629118758556,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000002,MNDO|NABO,1.0152,0.5899,2,1M,0.2011,100000,2019-05-27,False,2019-05-27,2028-12-09,,1.0,2,11.51293546492023,2019,0.49999999999999994,-0.8660254037844387,0,2,2,0.1155063090446228,0.3833148804026641,0.24941059472364346,0.1893692568671524,-0.0009792123416923482,0.11,0.35,0.22999999999999998,0.1697056274847714,3,0.26780857135804126,0.24,0.01941059472364348,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000003,TECH|SITH,1.0,0.5944,4,6M,0.2755,250000,2021-09-01,True,2021-09-01,2026-01-30,30.71,6.0,2,12.429220196836383,2021,-1.0,-1.8369701987210297e-16,2,2,2,0.2804503058678352,0.2940240306194789,0.2872371682436571,0.009598072817846926,0.008671755476344467,0.26,0.32,0.29000000000000004,0.04242640687119283,1,0.013573724751643701,0.06,-0.002762831756342954,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RFQ-000004,JEDI,1.3149,0.788,0,3 months,0.1266,100000,2023-04-06,False,2023-04-06,2026-07-13,,3.0,1,11.51293546492023,2023,0.8660254037844387,-0.4999999999999998,3,1,1,0.1200132615249198,0.1200132615249198,0.1200132615249198,0.0,0.0010319005658249308,0.14,0.14,0.14,0.0,1,0.0,0.0,-0.019986738475080215,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RFQ-000005,KYBR,1.3492,0.7391,0,3M,0.2032,500000,2024-05-08,False,2024-05-08,2032-09-09,,3.0,1,13.122365377402328,2024,0.49999999999999994,-0.8660254037844387,2,1,1,0.354031791634744,0.354031791634744,0.354031791634744,0.0,-0.04892681143562366,0.22,0.22,0.22,0.0,1,0.0,0.0,0.13403179163474402,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000006,REBL|CLNE|JEDI,1.0,0.5952,2,1Y,0.1739,100000,2020-03-23,False,2020-03-23,2030-01-22,,12.0,3,11.51293546492023,2020,1.0,6.123233995736766e-17,0,3,3,0.2759737482573309,0.3478216384605213,0.301027312962437,0.040558911986831536,0.012107559518793573,0.14,0.18,0.15666666666666665,0.020816659994661313,3,0.07184789020319038,0.03999999999999998,0.14436064629577036,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000007,JEDI|CORL,1.0,0.5567,3,2M,0.2418,100000,2017-10-06,False,2017-10-06,2025-12-25,,2.0,2,11.51293546492023,2017,-0.8660254037844386,0.5000000000000001,4,2,2,0.2283694595393085,0.5369539652736707,0.3826617124064896,0.21820219657386652,0.008265163555465957,0.14,0.28,0.21000000000000002,0.09899494936611666,1,0.30858450573436214,0.14,0.1726617124064896,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000008,POBK,1.2147,0.7669,0,1M,0.463,500000,2021-02-01,True,2021-02-04,2028-02-05,14.27,1.0,1,13.122365377402328,2021,0.8660254037844386,0.5000000000000001,0,1,1,0.6629499981456878,0.6629499981456878,0.6629499981456878,0.0,-0.030705411869031196,0.42,0.42,0.42,0.0,3,0.0,0.0,0.2429499981456878,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000009,MNDO,1.1783,0.8218,0,1M,0.4066,500000,2017-04-26,False,2017-04-26,2019-10-01,,1.0,1,13.122365377402328,2017,0.8660254037844387,-0.4999999999999998,2,1,1,0.3324884636826206,0.3324884636826206,0.3324884636826206,0.0,-0.018109576772193936,0.35,0.35,0.35,0.0,1,0.0,0.0,-0.017511536317379395,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
