rfq_id,underlyings,autocall_barrier_pct,protection_barrier_pct,no_call_period_months,observation_frequency,quoted_implied_vol,notional_credits,requested_date,executed,start_date,end_date,avg_duration_months,observation_frequency_months,basket_size,log_notional_credits,requested_month_sin,requested_month_cos,requested_dayofweek,nominal_maturity_months,n_underlyings,n_market_matches,realized_vol_min,realized_vol_max,realized_vol_mean,realized_vol_std,realized_vol_trend_21d_mean,structural_base_vol_min,structural_base_vol_max,structural_base_vol_mean,structural_base_vol_std,market_lag_days_max,realized_vol_range,structural_base_vol_range,realized_minus_structural_vol,market_match_rate,has_underlying_BSKR,has_underlying_CLNE,has_underlying_CORL,has_underlying_DRC,has_underlying_HTTX,has_underlying_JEDI,has_underlying_KYBR,has_underlying_MNDO,has_underlying_NABO,has_underlying_POBK,has_underlying_REBL,has_underlying_SITH,has_underlying_TECH,has_underlying_WOOK,product_type_Death Star Phoenix Note,product_type_Holocron Reverse Convertible,product_type_Kessel Run Snowball,product_type_Mandalorian Twin-Win,product_type_Sith Eternal Snowball,product_type_Wretched Hive Digital,basket_type_single,basket_type_worst_of,counterparty_Alderaan Wealth Partners,counterparty_Banco de Coruscant,counterparty_Chandrila Sovereign Fund,counterparty_Corellian Capital,counterparty_First Order Financial,counterparty_Jabba Asset Management,counterparty_Kamino Cloning Trust,counterparty_Nal Hutta Traders,trader_id_TRD-001,trader_id_TRD-002,trader_id_TRD-003,trader_id_TRD-004,trader_id_TRD-005,trader_id_TRD-006,trader_id_TRD-007,trader_id_TRD-008,trader_id_TRD-009,trader_id_TRD-010,trader_id_TRD-011,trader_id_TRD-012,trader_id_TRD-013,trader_id_TRD-014,trader_id_TRD-015,trader_id_TRD-016,trader_id_TRD-017,trader_id_TRD-018,trader_id_TRD-019,trader_id_TRD-020,trader_id_TRD-021,trader_id_TRD-022,trader_id_TRD-023,trader_id_TRD-024,trader_id_TRD-025,trader_id_TRD-026,trader_id_TRD-027,trader_id_TRD-028,trader_id_TRD-029,trader_id_TRD-030,trader_id_TRD-031,trader_id_TRD-032,trader_id_TRD-033,trader_id_TRD-034,trader_id_TRD-035,trader_id_TRD-036,trader_id_TRD-037,trader_id_TRD-038,trader_id_TRD-039
RFQ-000003,TECH|SITH,1.0,0.5944,4,6M,0.2755,250000,2021-09-01,True,2021-09-01,2026-01-30,30.71,6.0,2,12.429220196836383,-1.0,-1.8369701987210297e-16,2,52.95663600525624,2,2,0.2804503058678352,0.2940240306194789,0.2872371682436571,0.009598072817846926,0.008671755476344467,0.26,0.32,0.29000000000000004,0.04242640687119283,1,0.013573724751643701,0.06,-0.002762831756342954,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RFQ-000008,POBK,1.2147,0.7669,0,1M,0.463,500000,2021-02-01,True,2021-02-04,2028-02-05,14.27,1.0,1,13.122365377402328,0.8660254037844386,0.5000000000000001,0,84.00131406044677,1,1,0.6629499981456878,0.6629499981456878,0.6629499981456878,0.0,-0.030705411869031196,0.42,0.42,0.42,0.0,3,0.0,0.0,0.2429499981456878,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000012,TECH|NABO,0.9847,0.634,2,3M,0.2479,250000,2019-10-08,True,2019-10-12,2024-09-24,23.96,3.0,2,12.429220196836383,-0.8660254037844386,0.5000000000000001,1,59.42838370565046,2,2,0.1152157217797317,0.2955599962197994,0.20538785899976555,0.12752265940473964,-0.004036173156727434,0.11,0.32,0.215,0.14849242404917498,1,0.18034427444006768,0.21000000000000002,-0.009612141000234442,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000017,KYBR|BSKR,0.9956,0.5925,3,3M,0.2897,100000,2016-09-13,True,2016-09-17,2020-10-20,36.05,3.0,2,11.51293546492023,-1.0,-1.8369701987210297e-16,1,49.08015768725361,2,2,0.2202531363004748,0.351675524035317,0.2859643301678959,0.09292966156703467,0.034519534459585124,0.22,0.3,0.26,0.0565685424949238,1,0.1314223877348422,0.07999999999999999,0.0259643301678959,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000018,CLNE|WOOK|POBK,1.0,0.5683,6,3M,0.2532,2000000,2023-09-05,True,2023-09-06,2031-03-14,71.4,3.0,3,14.508658238524095,-1.0,-1.8369701987210297e-16,1,90.21024967148489,3,3,0.1985037798210934,0.4680431520291845,0.35224884794063144,0.13871937017044372,0.04541878166775096,0.15,0.42,0.28,0.1352774925846868,1,0.2695393722080911,0.27,0.07224884794063141,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000019,WOOK|REBL,1.2028,0.6,0,Monthly,0.2405,100000,2019-03-05,True,2019-03-06,2024-12-13,35.02,1.0,2,11.51293546492023,1.0,6.123233995736766e-17,1,69.2838370565046,2,2,0.1990565684047597,0.2544923712347358,0.22677446981974775,0.03919903210159649,-0.020667083280273293,0.18,0.27,0.225,0.0636396103067893,1,0.055435802829976094,0.09000000000000002,0.0017744698197477426,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000020,REBL|SITH,1.2899,0.6,0,2M,0.2145,500000,2022-03-01,True,2022-03-03,2030-01-22,47.08,2.0,2,13.122365377402328,1.0,6.123233995736766e-17,1,94.67805519053876,2,2,0.2722631880020695,0.5975753785439811,0.4349192832730253,0.23003045593483595,0.0030537014820146147,0.18,0.26,0.22,0.05656854249492382,1,0.32531219054191163,0.08000000000000002,0.2149192832730253,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RFQ-000021,NABO,1.2415,0.8466,0,12M,0.1282,500000,2021-02-22,True,2021-02-22,2024-01-09,34.04,12.0,1,13.122365377402328,0.8660254037844386,0.5000000000000001,0,34.526938239159,1,1,0.1420718149016314,0.1420718149016314,0.1420718149016314,0.0,-0.03479010704836091,0.11,0.11,0.11,0.0,3,0.0,0.0,0.0320718149016314,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000022,REBL|HTTX,1.0302,0.5567,0,6M,0.4039,100000,2023-09-29,True,2023-09-30,2027-12-27,39.65,6.0,2,11.51293546492023,-1.0,-1.8369701987210297e-16,4,50.88699080157687,2,2,0.2992373218465006,1.2787825116854603,0.7890099167659804,0.6926430462137925,-0.047802442814220664,0.18,0.5,0.33999999999999997,0.2262741699796952,1,0.9795451898389598,0.32,0.44900991676598045,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFQ-000023,CLNE|REBL,1.0,0.6399,6,1M,0.1533,250000,2017-10-02,True,2017-10-06,2023-10-25,21.92,1.0,2,12.429220196836383,-0.8660254037844386,0.5000000000000001,0,72.60183968462549,2,2,0.2462372101706871,0.5502761959203878,0.39825670304553745,0.21498802856869348,0.0022832593169467147,0.15,0.18,0.16499999999999998,0.021213203435596434,3,0.3040389857497007,0.03,0.23325670304553747,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
