month,day_of_week,median_duration_months
1,0,35.86
1,1,36.71
1,2,35.14
1,3,35.775000000000006
1,4,35.42
2,0,34.709999999999994
2,1,37.019999999999996
2,2,33.535
2,3,35.58
2,4,36.334999999999994
3,0,35.005
3,1,35.455
3,2,34.61
3,3,35.99
3,4,36.81
4,0,34.89
4,1,34.88
4,2,37.6
4,3,35.935
4,4,35.85
5,0,34.465
5,1,34.510000000000005
5,2,38.63
5,3,38.495000000000005
5,4,39.48
6,0,34.31
6,1,35.07
6,2,35.6
6,3,33.61
6,4,33.8
7,0,34.35
7,1,35.68
7,2,38.32
7,3,32.74
7,4,37.75
8,0,33.48
8,1,37.510000000000005
8,2,33.114999999999995
8,3,34.31
8,4,35.425
9,0,32.81
9,1,36.37
9,2,32.49
9,3,37.845
9,4,35.31
10,0,35.02
10,1,39.085
10,2,33.445
10,3,35.445
10,4,34.54
11,0,38.46
11,1,34.78
11,2,39.230000000000004
11,3,34.71
11,4,34.62
12,0,36.985
12,1,34.27
12,2,34.870000000000005
12,3,32.28
12,4,35.254999999999995
