feature,shap_medio_abs_ratio,aprox_meses
nominal_maturity_months,0.0563019456848486,4.0484682716309885
product_type_Wretched Hive Digital,0.05467134889862821,3.9312179835185965
observation_frequency_months,0.05245062956857097,3.7715341282170596
has_underlying_REBL,0.03388030731332803,2.436209753014412
autocall_barrier_pct,0.030400115777395372,2.1859618292341567
has_underlying_HTTX,0.020565801065902743,1.47881200344357
no_call_period_months,0.01863639558518032,1.3400754681995009
protection_barrier_pct,0.01815387115216662,1.305378890069193
structural_base_vol_range,0.01674074478220537,1.2037661091429952
structural_base_vol_max,0.01642954074822434,1.1813885582031383
realized_vol_std,0.014251785704653814,1.0247941085791306
structural_base_vol_std,0.014073175574334962,1.0119509033081209
realized_vol_min,0.012932622918353153,0.9299379074213835
structural_base_vol_min,0.012595689477704711,0.9057102483676083
product_type_Sith Eternal Snowball,0.012265834802097489,0.881991597578523
basket_size,0.011892462534661209,0.8551437549358577
basket_type_single,0.010586066237305309,0.7612055455953436
realized_vol_mean,0.00790202421720269,0.5682058397071329
realized_minus_structural_vol,0.007248283103981063,0.5211976924300714
realized_vol_max,0.005946104826349518,0.42756278555655824
realized_vol_range,0.005812536565971623,0.41795837743781045
basket_type_worst_of,0.0053444010980786966,0.3842964574892843
structural_base_vol_mean,0.003996274262206229,0.287357556803429
has_underlying_TECH,0.0034394312413279153,0.24731699914803562
requested_month_sin,0.0026142094734711067,0.18797830128263332
product_type_Kessel Run Snowball,0.002208883353643,0.15883277325820866
has_underlying_CORL,0.002010861924446017,0.14459377203977034
has_underlying_WOOK,0.0016811195961664656,0.12088319973866525
quoted_implied_vol,0.0015511700289374342,0.11153899869126718
product_type_Death Star Phoenix Note,0.001388982808304295,0.09987670516285758
has_underlying_SITH,0.0011742760902665567,0.08443792547045836
requested_month_cos,0.0011692884138267004,0.0840792797865428
has_underlying_BSKR,0.0011341881020552312,0.08155534394733449
product_type_Holocron Reverse Convertible,0.0011291822998900545,0.08119539490839331
has_underlying_MNDO,0.001110401764117919,0.07984495484326103
has_underlying_KYBR,0.0011005379231299433,0.0791356818902487
has_underlying_DRC,0.000950281927314104,0.06833131937162892
has_underlying_JEDI,0.000793514118507393,0.057058716049540215
log_notional_credits,0.0007285812642904507,0.0523896305164185
counterparty_Corellian Capital,0.0007233176944237291,0.052011146338976126
requested_dayofweek,0.000516758011394725,0.037158190321754145
counterparty_Jabba Asset Management,0.0004253224050443294,0.03058338821315606
has_underlying_CLNE,0.00039280593640365376,0.02824524714190201
counterparty_Chandrila Sovereign Fund,0.0002588652111593971,0.018614056428424713
trader_id_TRD-020,0.0002308062679984326,0.01659643981249963
counterparty_First Order Financial,0.00022470772564654393,0.016157915798551328
product_type_Mandalorian Twin-Win,0.00021108852365766994,0.015178608485700719
has_underlying_POBK,0.0002079936564429262,0.014956067833305952
counterparty_Alderaan Wealth Partners,0.00018305180819132302,0.01316259018250384
has_underlying_NABO,0.00016476660437186782,0.011847767637689167
trader_id_TRD-018,0.00015216210081306494,0.010941423600786626
counterparty_Banco de Coruscant,0.0001453096912006383,0.010448691732239602
trader_id_TRD-001,0.00012490404281676162,0.008981395726048213
trader_id_TRD-023,0.00011191336194401958,0.008047283082151914
trader_id_TRD-038,9.769555310001939e-05,0.007024932126125554
trader_id_TRD-015,8.446851138246955e-05,0.006073823632987801
trader_id_TRD-014,7.764297903391655e-05,0.0055830244107942404
counterparty_Kamino Cloning Trust,7.41616750212835e-05,0.005332696492858015
trader_id_TRD-013,7.246363496933135e-05,0.005210596604645149
counterparty_Nal Hutta Traders,6.395205364696484e-05,0.004598559729083298
trader_id_TRD-039,6.264238477680868e-05,0.004504386200927648
trader_id_TRD-037,6.116593376277117e-05,0.004398219975014129
trader_id_TRD-003,5.633863969578101e-05,0.004051106804584188
trader_id_TRD-025,5.5123838031010337e-05,0.003963754832350801
trader_id_TRD-022,5.457399281611438e-05,0.003924217461488439
trader_id_TRD-016,5.1206242236175994e-05,0.003682054758160825
trader_id_TRD-012,4.880308951544288e-05,0.0035092527808325375
trader_id_TRD-029,4.749785382588104e-05,0.0034153980265799943
trader_id_TRD-011,4.172900597492278e-05,0.00300058114584196
trader_id_TRD-027,3.892106842167576e-05,0.0027986725624925763
trader_id_TRD-006,3.534232427669261e-05,0.002541338078807967
trader_id_TRD-021,3.531675779410333e-05,0.002539499685972322
trader_id_TRD-008,3.530034419909071e-05,0.0025383194440140072
trader_id_TRD-030,3.5208121054017964e-05,0.0025316880128583787
trader_id_TRD-019,3.15637385383634e-05,0.0022696337125167705
trader_id_TRD-035,2.6726161084752387e-05,0.0019217811011322927
trader_id_TRD-034,2.638405596602231e-05,0.0018971815655053385
trader_id_TRD-017,2.626306825843527e-05,0.0018884817792108248
trader_id_TRD-033,2.5992206175713253e-05,0.0018690050713537627
trader_id_TRD-009,2.3931897792928286e-05,0.0017208557842195357
trader_id_TRD-028,2.3528763818701877e-05,0.001691867885417464
trader_id_TRD-036,2.3513709320347288e-05,0.0016907853711598745
trader_id_TRD-005,2.350623772114921e-05,0.0016902481156188126
trader_id_TRD-031,2.0111440673824408e-05,0.001446140599128142
trader_id_TRD-032,2.007789028959659e-05,0.001443728112945024
trader_id_TRD-004,1.570725276024595e-05,0.001129451454311938
trader_id_TRD-026,1.3731765034031037e-05,0.000987401312291184
trader_id_TRD-007,1.353642343120106e-05,0.0009733550076463425
trader_id_TRD-024,1.3018641555468625e-05,0.0009361231949615376
trader_id_TRD-010,1.2535390908820531e-05,0.0009013743974483734
trader_id_TRD-002,3.822749904936009e-06,0.0002748800509869169
