term,coefficient,abs_coefficient
linear__has_underlying_HTTX,23.967903117527833,23.967903117527833
linear__structural_base_vol_min,-17.758164916310086,17.758164916310086
linear__has_underlying_REBL,-16.75237754639822,16.75237754639822
linear__structural_base_vol_max,-14.190254773068984,14.190254773068984
linear__realized_vol_min,-13.514639809023915,13.514639809023915
linear__has_underlying_NABO,-12.546276177148007,12.546276177148007
linear__product_type_Wretched Hive Digital,9.107207118191486,9.107207118191486
linear__realized_minus_structural_vol,8.544393972770147,8.544393972770147
linear__has_underlying_JEDI,-7.898644604577616,7.898644604577616
linear__has_underlying_POBK,7.883405604968227,7.883405604968227
linear__realized_vol_max,-7.846430387514584,7.846430387514584
linear__has_underlying_CLNE,-7.491483700016468,7.491483700016468
linear__realized_vol_std,5.7716699879245965,5.7716699879245965
linear__structural_base_vol_std,4.358266212281118,4.358266212281118
linear__has_underlying_MNDO,4.04560742815015,4.04560742815015
linear__product_type_Death Star Phoenix Note,-3.684108949870442,3.684108949870442
linear__has_underlying_CORL,3.3896950992363553,3.3896950992363553
linear__has_underlying_BSKR,3.268552712502011,3.268552712502011
linear__n_underlyings,3.153701179577734,3.153701179577734
linear__n_market_matches,3.153701179577731,3.153701179577731
linear__product_type_Kessel Run Snowball,-2.994196849956469,2.994196849956469
linear__basket_type_single,-2.7913012489721143,2.7913012489721143
linear__basket_type_worst_of,2.7913012489687246,2.7913012489687246
linear__has_underlying_DRC,2.6945936652070994,2.6945936652070994
linear__has_underlying_TECH,2.670950040141804,2.670950040141804
linear__has_underlying_KYBR,-2.391841932700209,2.391841932700209
linear__trader_id_TRD-035,1.9769169034315117,1.9769169034315117
linear__has_underlying_WOOK,1.9088179028450403,1.9088179028450403
linear__trader_id_TRD-014,-1.8871082699051178,1.8871082699051178
linear__trader_id_TRD-008,-1.855940003961419,1.855940003961419
linear__trader_id_TRD-038,1.836353377069949,1.836353377069949
linear__trader_id_TRD-010,-1.6664708079483779,1.6664708079483779
linear__trader_id_TRD-002,-1.485141584855799,1.485141584855799
linear__trader_id_TRD-034,-1.4734010363851215,1.4734010363851215
linear__product_type_Mandalorian Twin-Win,-1.4388081340670789,1.4388081340670789
linear__trader_id_TRD-032,1.4288867238568561,1.4288867238568561
linear__product_type_Holocron Reverse Convertible,-1.3524931149197563,1.3524931149197563
linear__trader_id_TRD-030,-1.2272523843777896,1.2272523843777896
linear__trader_id_TRD-012,1.180573000128646,1.180573000128646
linear__trader_id_TRD-003,1.145769946666742,1.145769946666742
linear__trader_id_TRD-005,-1.0421539132299902,1.0421539132299902
linear__trader_id_TRD-004,-1.0220557860403103,1.0220557860403103
linear__trader_id_TRD-028,0.9791686288242782,0.9791686288242782
linear__trader_id_TRD-036,0.977505486847501,0.977505486847501
linear__trader_id_TRD-026,0.7925709177149158,0.7925709177149158
linear__trader_id_TRD-023,-0.7370273138884742,0.7370273138884742
linear__trader_id_TRD-007,-0.7273808095636475,0.7273808095636475
linear__trader_id_TRD-019,-0.6938960439527597,0.6938960439527597
linear__trader_id_TRD-031,0.6898209267265363,0.6898209267265363
linear__trader_id_TRD-001,0.611491842190136,0.611491842190136
linear__trader_id_TRD-016,0.5702415849534951,0.5702415849534951
linear__trader_id_TRD-021,0.5592171926449664,0.5592171926449664
linear__counterparty_Kamino Cloning Trust,0.5391152821258184,0.5391152821258184
linear__trader_id_TRD-009,0.41766325327304027,0.41766325327304027
linear__counterparty_Jabba Asset Management,-0.41438867282006725,0.41438867282006725
linear__has_underlying_SITH,0.4047995698518831,0.4047995698518831
linear__trader_id_TRD-029,0.3965388176486062,0.3965388176486062
linear__trader_id_TRD-024,0.3770996237911973,0.3770996237911973
linear__product_type_Sith Eternal Snowball,0.3623999306287435,0.3623999306287435
linear__trader_id_TRD-006,-0.3606537361604017,0.3606537361604017
linear__counterparty_Banco de Coruscant,-0.35601360664490567,0.35601360664490567
linear__trader_id_TRD-013,-0.33516958230862864,0.33516958230862864
linear__trader_id_TRD-022,0.32326470461642376,0.32326470461642376
linear__trader_id_TRD-011,-0.31682850843517174,0.31682850843517174
linear__counterparty_First Order Financial,-0.31600549497364405,0.31600549497364405
linear__trader_id_TRD-020,0.29004378197462577,0.29004378197462577
linear__trader_id_TRD-015,-0.26995326100797146,0.26995326100797146
linear__trader_id_TRD-017,0.25946800786198243,0.25946800786198243
linear__counterparty_Nal Hutta Traders,0.22870325762399304,0.22870325762399304
linear__counterparty_Chandrila Sovereign Fund,0.18179258613649601,0.18179258613649601
linear__trader_id_TRD-039,0.15395139626665424,0.15395139626665424
linear__trader_id_TRD-025,0.14886218234208606,0.14886218234208606
linear__trader_id_TRD-018,-0.09147720369780526,0.09147720369780526
linear__trader_id_TRD-027,0.0891944485512911,0.0891944485512911
linear__counterparty_Corellian Capital,0.08379408017485049,0.08379408017485049
linear__counterparty_Alderaan Wealth Partners,0.053002568377495535,0.053002568377495535
linear__trader_id_TRD-033,-0.01954026055388882,0.01954026055388882
linear__trader_id_TRD-037,0.0068477588849046025,0.0068477588849046025
linear__notional_credits,7.894421130930063e-08,7.894421130930063e-08
linear__market_match_rate,0.0,0.0
